Name,source,country,site,strata,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB,MOG,CNCA
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,0,1,0,0,86,13,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,2,2,0,0,23,73,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,0,0,0,0,32,68,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,0,0,0,0,18,82,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,0,0,0,0,14,86,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,0,10,0,0,28,62,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,0,15,0,0,55,30,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,0,0,0,0,81,17,0,0,0,2,0,0,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,0,0,0,0,82,18,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,0,0,0,0,78,22,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,3,90,0,0,2,2,3,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,6,88,0,0,1,2,3,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,5,82,0,0,5,2,4,0,0,2,0,0,0
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,7,83,0,0,3,1,5,0,0,1,0,0,0
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,2,84,0,0,5,4,3,0,0,2,0,0,0
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,4,87,0,0,2,2,3,1,0,1,0,0,0
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,7,89,0,0,2,1,1,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,5,94,0,0,1,0,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q09,visual,AR,PC,MT,4,86,0,0,6,3,1,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10,visual,AR,PC,MT,7,87,0,0,1,1,4,0,0,0,0,0,0
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,0,0,0,2,30,9,2,43,0,14,0,0,0
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,0,0,0,8,71,7,0,5,0,9,0,0,0
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,0,0,0,0,62,4,0,22,0,12,0,0,0
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,0,0,0,18,59,2,0,21,0,0,0,0,0
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,0,0,0,7,54,1,0,6,0,32,0,0,0
AR_PM_PC_LT_20181105_Q06,visual,AR,PC,LT,0,0,0,5,62,6,0,10,0,17,0,0,0
AR_PM_PC_LT_20181105_Q07,visual,AR,PC,LT,0,0,0,4,57,3,0,16,0,20,0,0,0
AR_PM_PC_LT_20181105_Q08,visual,AR,PC,LT,0,0,0,0,63,6,0,23,0,8,0,0,0
AR_PM_PC_LT_20181105_Q09,visual,AR,PC,LT,0,0,0,2,48,15,0,18,0,17,0,0,0
AR_PM_PC_LT_20181105_Q10,visual,AR,PC,LT,0,0,0,8,58,8,0,10,0,16,0,0,0
AR_PM_PE_HT_20181025_Q02,visual,AR,PE,HT,11,1,0,0,84,4,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q03,visual,AR,PE,HT,4,0,0,0,89,7,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q01,visual,AR,PE,HT,2,0,0,0,92,6,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q04,visual,AR,PE,HT,3,0,0,0,93,3,1,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q05,visual,AR,PE,HT,4,0,0,0,85,9,2,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q06,visual,AR,PE,HT,9,0,0,0,86,5,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q07,visual,AR,PE,HT,3,0,0,0,93,1,3,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q08,visual,AR,PE,HT,1,0,0,0,63,32,4,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q09,visual,AR,PE,HT,11,0,0,0,61,11,17,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q10,visual,AR,PE,HT,1,0,0,0,78,21,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q01,visual,AR,PE,MT,5,90,0,0,2,0,2,1,0,0,0,0,0
AR_PM_PE_MT_20181025_Q02,visual,AR,PE,MT,3,89,0,0,2,1,3,2,0,0,0,0,0
AR_PM_PE_MT_20181025_Q03,visual,AR,PE,MT,1,96,0,0,2,0,1,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q04,visual,AR,PE,MT,2,89,0,0,2,2,5,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q05,visual,AR,PE,MT,6,83,0,0,2,3,5,1,0,0,0,0,0
AR_PM_PE_MT_20181025_Q06,visual,AR,PE,MT,2,85,0,0,3,3,5,2,0,0,0,0,0
AR_PM_PE_MT_20181025_Q07,visual,AR,PE,MT,1,92,0,0,2,1,2,2,0,0,0,0,0
AR_PM_PE_MT_20181025_Q08,visual,AR,PE,MT,2,86,0,0,4,1,7,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q09,visual,AR,PE,MT,1,96,0,0,1,0,2,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q10,visual,AR,PE,MT,1,94,0,0,1,1,0,2,0,1,0,0,0
AR_PM_PE_LT_20181025_Q01,visual,AR,PE,LT,0,2,1,0,6,20,0,60,1,10,0,0,0
AR_PM_PE_LT_20181025_Q02,visual,AR,PE,LT,0,2,1,0,1,22,0,58,0,16,0,0,0
AR_PM_PE_LT_20181025_Q03,visual,AR,PE,LT,0,1,0,0,1,82,0,2,1,9,4,0,0
AR_PM_PE_LT_20181025_Q04,visual,AR,PE,LT,0,1,0,0,3,61,0,9,1,17,8,0,0
AR_PM_PE_LT_20181025_Q05,visual,AR,PE,LT,0,1,1,1,2,57,0,9,2,23,4,0,0
AR_PM_PE_LT_20181025_Q06,visual,AR,PE,LT,0,0,1,0,5,56,0,18,1,18,1,0,0
AR_PM_PE_LT_20181025_Q07,visual,AR,PE,LT,0,2,1,1,2,20,0,58,2,14,0,0,0
AR_PM_PE_LT_20181025_Q08,visual,AR,PE,LT,0,1,0,1,3,26,0,7,1,61,0,0,0
AR_PM_PE_LT_20181025_Q09,visual,AR,PE,LT,0,1,1,1,1,65,1,13,2,14,1,0,0
AR_PM_PE_LT_20181025_Q10,visual,AR,PE,LT,0,1,2,1,4,32,1,50,0,8,1,0,0
AR_PM_PL_HT_20181026_Q01,visual,AR,PL,HT,0,2,0,0,70,28,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q02,visual,AR,PL,HT,0,1,0,0,75,24,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q03,visual,AR,PL,HT,0,1,0,0,90,9,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q04,visual,AR,PL,HT,0,2,0,0,84,14,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q05,visual,AR,PL,HT,0,2,0,0,84,14,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q06,visual,AR,PL,HT,0,3,0,0,73,24,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q07,visual,AR,PL,HT,0,1,0,0,77,22,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q08,visual,AR,PL,HT,0,1,0,0,57,42,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q09,visual,AR,PL,HT,0,0,0,0,73,27,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q10,visual,AR,PL,HT,0,1,0,0,79,20,0,0,0,0,0,0,0
AR_PM_PL_MT_20181026_Q01,visual,AR,PL,MT,1,80,0,0,1,5,1,4,0,8,0,0,0
AR_PM_PL_MT_20181026_Q02,visual,AR,PL,MT,4,78,0,0,1,9,5,0,0,3,0,0,0
AR_PM_PL_MT_20181026_Q03,visual,AR,PL,MT,3,67,0,0,3,4,19,1,0,3,0,0,0
AR_PM_PL_MT_20181026_Q04,visual,AR,PL,MT,10,65,0,0,4,4,15,0,0,2,0,0,0
AR_PM_PL_MT_20181026_Q05,visual,AR,PL,MT,0,90,0,0,3,3,0,3,0,1,0,0,0
AR_PM_PL_MT_20181026_Q06,visual,AR,PL,MT,3,83,0,0,4,3,4,0,0,3,0,0,0
AR_PM_PL_MT_20181026_Q07,visual,AR,PL,MT,1,87,0,0,1,4,0,3,0,4,0,0,0
AR_PM_PL_MT_20181026_Q08,visual,AR,PL,MT,1,94,0,0,1,1,0,2,0,1,0,0,0
AR_PM_PL_MT_20181026_Q09,visual,AR,PL,MT,2,93,0,0,1,0,2,1,0,1,0,0,0
AR_PM_PL_MT_20181026_Q10,visual,AR,PL,MT,1,89,0,0,2,4,2,1,0,1,0,0,0
AR_PM_PL_LT_20181026_Q01,visual,AR,PL,LT,0,0,0,0,0,7,1,55,1,29,7,0,0
AR_PM_PL_LT_20181026_Q02,visual,AR,PL,LT,0,1,1,1,3,0,3,59,2,23,7,0,0
AR_PM_PL_LT_20181026_Q03,visual,AR,PL,LT,0,1,0,0,0,8,0,52,2,37,0,0,0
AR_PM_PL_LT_20181026_Q04,visual,AR,PL,LT,0,1,0,0,1,7,2,49,0,33,7,0,0
AR_PM_PL_LT_20181026_Q05,visual,AR,PL,LT,0,1,0,0,1,6,0,71,2,19,0,0,0
AR_PM_PL_LT_20181026_Q06,visual,AR,PL,LT,0,1,0,0,1,10,1,60,2,24,1,0,0
AR_PM_PL_LT_20181026_Q07,visual,AR,PL,LT,0,1,0,0,0,5,0,69,2,22,1,0,0
AR_PM_PL_LT_20181026_Q08,visual,AR,PL,LT,0,1,0,1,1,9,1,59,3,24,1,0,0
AR_PM_PL_LT_20181026_Q09,visual,AR,PL,LT,0,1,0,0,1,6,0,64,1,25,2,0,0
AR_PM_PL_LT_20181026_Q10,visual,AR,PL,LT,0,0,0,1,2,6,3,64,2,22,0,0,0
CO_GI_LM_HT_20181014_Q01,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q02,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q03,visual,CO,LM,HT,0,0,0,0,98,0,0,0,0,0,0,2,0
CO_GI_LM_HT_20181014_Q04,visual,CO,LM,HT,0,0,0,0,96,0,0,0,0,0,0,4,0
CO_GI_LM_HT_20181014_Q05,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q06,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q07,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q08,visual,CO,LM,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q09,visual,CO,LM,HT,0,0,0,0,98,0,0,0,0,0,0,2,0
CO_GI_LM_HT_20181014_Q10,visual,CO,LM,HT,0,0,0,0,99,0,0,0,0,0,0,1,0
CO_GI_LM_LT_20181014_Q01,visual,CO,LM,LT,0,0,0,0,11,0,85,0,0,0,0,4,0
CO_GI_LM_LT_20181014_Q02,visual,CO,LM,LT,0,0,0,0,84,16,0,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q03,visual,CO,LM,LT,0,0,0,0,68,23,7,1,1,0,0,0,0
CO_GI_LM_LT_20181014_Q04,visual,CO,LM,LT,0,0,0,0,88,9,3,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q05,visual,CO,LM,LT,0,0,0,0,48,0,50,0,0,0,0,2,0
CO_GI_LM_LT_20181014_Q06,visual,CO,LM,LT,0,0,0,0,66,0,32,2,0,0,0,0,0
CO_GI_LM_LT_20181014_Q07,visual,CO,LM,LT,0,0,0,0,85,0,15,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q08,visual,CO,LM,LT,0,0,0,0,95,0,5,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q09,visual,CO,LM,LT,0,0,0,0,78,11,0,11,0,0,0,0,0
CO_GI_LM_LT_20181014_Q10,visual,CO,LM,LT,0,0,0,0,35,0,65,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q01,visual,CO,LM,MT,0,0,0,0,98,0,2,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q02,visual,CO,LM,MT,0,0,0,0,99,0,0,0,0,0,0,1,0
CO_GI_LM_MT_20181014_Q03,visual,CO,LM,MT,0,0,0,0,95,0,5,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q04,visual,CO,LM,MT,0,0,0,0,97,0,3,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q05,visual,CO,LM,MT,0,0,0,0,98,0,2,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q06,visual,CO,LM,MT,0,0,0,0,99,0,1,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q07,visual,CO,LM,MT,0,0,0,0,80,0,20,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q08,visual,CO,LM,MT,0,0,0,0,75,0,25,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q09,visual,CO,LM,MT,0,0,0,0,93,0,7,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q10,visual,CO,LM,MT,0,0,0,0,41,9,50,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q01,visual,CO,LV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q02,visual,CO,LV,HT,0,0,0,0,98,2,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q03,visual,CO,LV,HT,0,0,0,0,95,0,0,0,0,0,0,5,0
CO_GI_LV_HT_20181010_Q04,visual,CO,LV,HT,0,0,0,0,98,0,0,0,0,0,0,2,0
CO_GI_LV_HT_20181010_Q05,visual,CO,LV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q06,visual,CO,LV,HT,0,0,0,0,90,0,0,0,0,0,0,10,0
CO_GI_LV_HT_20181010_Q07,visual,CO,LV,HT,0,0,0,0,99,0,0,0,0,0,0,1,0
CO_GI_LV_HT_20181010_Q08,visual,CO,LV,HT,0,0,0,0,98,1,0,0,0,0,0,1,0
CO_GI_LV_HT_20181010_Q09,visual,CO,LV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q10,visual,CO,LV,HT,0,0,0,0,97,0,0,0,0,0,0,3,0
CO_GI_LV_LT_20181011_Q01,visual,CO,LV,LT,0,0,0,0,0,83,2,0,15,0,0,0,0
CO_GI_LV_LT_20181011_Q02,visual,CO,LV,LT,0,0,0,0,53,0,47,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q03,visual,CO,LV,LT,0,0,0,0,26,71,1,2,0,0,0,0,0
CO_GI_LV_LT_20181011_Q04,visual,CO,LV,LT,0,0,0,0,12,80,4,3,1,0,0,0,0
