"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CRB","MOG","WPOT","SC","LICHEN","SHAD","Unc","MAA","MAEN","MAG","MALCB","MAF","MAEF","MALA","SP"
"1","CO_GI_LM_HT_20181014_Q01.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"2","CO_GI_LM_HT_20181014_Q02.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"3","CO_GI_LM_HT_20181014_Q03.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"4","CO_GI_LM_HT_20181014_Q04.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"5","CO_GI_LM_HT_20181014_Q05.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"6","CO_GI_LM_HT_20181014_Q06.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,99,0,1,0,0,0,0,0,0,NA,NA,NA
"7","CO_GI_LM_HT_20181014_Q07.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"8","CO_GI_LM_HT_20181014_Q08.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"9","CO_GI_LM_HT_20181014_Q09.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,3,0,97,0,0,0,0,0,0,0,0,NA,NA,NA
"10","CO_GI_LM_HT_20181014_Q10.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"11","CO_GI_LM_LT_20181014_Q01.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,98,0,0,0,0,1,0,0,0,NA,NA,NA
"12","CO_GI_LM_LT_20181014_Q02.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,92,0,0,0,0,2,0,6,0,NA,NA,NA
"13","CO_GI_LM_LT_20181014_Q03.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,74,5,0,0,0,6,0,0,15,NA,NA,NA
"14","CO_GI_LM_LT_20181014_Q04.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,98,0,0,0,0,0,0,0,2,NA,NA,NA
"15","CO_GI_LM_LT_20181014_Q05.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,68,31,0,0,0,0,0,0,0,NA,NA,NA
"16","CO_GI_LM_LT_20181014_Q06.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,80,18,0,0,0,2,0,0,0,NA,NA,NA
"17","CO_GI_LM_LT_20181014_Q07.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,73,10,1,0,0,14,0,0,2,NA,NA,NA
"18","CO_GI_LM_LT_20181014_Q08.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,70,24,0,0,0,6,0,0,0,NA,NA,NA
"19","CO_GI_LM_LT_20181014_Q09.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"20","CO_GI_LM_LT_20181014_Q10.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,64,28,0,0,0,6,0,0,2,NA,NA,NA
"21","CO_GI_LM_MT_20181014_Q01.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"22","CO_GI_LM_MT_20181014_Q02.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,98,0,0,0,0,1,0,0,0,NA,NA,NA
"23","CO_GI_LM_MT_20181014_Q03.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,93,7,0,0,0,0,0,0,0,NA,NA,NA
"24","CO_GI_LM_MT_20181014_Q04.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,97,1,0,0,0,2,0,0,0,NA,NA,NA
"25","CO_GI_LM_MT_20181014_Q05.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"26","CO_GI_LM_MT_20181014_Q06.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,98,2,0,0,0,0,0,0,0,NA,NA,NA
"27","CO_GI_LM_MT_20181014_Q07.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,86,13,0,0,0,0,0,0,1,NA,NA,NA
"28","CO_GI_LM_MT_20181014_Q08.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,84,0,0,0,0,16,0,0,0,NA,NA,NA
"29","CO_GI_LM_MT_20181014_Q09.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,77,18,0,0,0,5,0,0,0,NA,NA,NA
"30","CO_GI_LM_MT_20181014_Q10.jpg","2018-10-14","Rocky shore","COLOMBIA","GORGONA ISLAND","LA MANCORA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,54,1,0,0,0,39,0,0,6,NA,NA,NA
"31","CO_GI_LV_HT_20181010_Q01.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,98,0,0,0,0,2,0,0,0,NA,NA,NA
"32","CO_GI_LV_HT_20181010_Q02.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"33","CO_GI_LV_HT_20181010_Q03.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,4,0,96,0,0,0,0,0,0,0,0,NA,NA,NA
"34","CO_GI_LV_HT_20181010_Q04.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,3,0,88,0,9,0,0,0,0,0,0,NA,NA,NA
"35","CO_GI_LV_HT_20181010_Q05.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"36","CO_GI_LV_HT_20181010_Q06.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,3,0,97,0,0,0,0,0,0,0,0,NA,NA,NA
"37","CO_GI_LV_HT_20181010_Q07.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"38","CO_GI_LV_HT_20181010_Q08.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"39","CO_GI_LV_HT_20181010_Q09.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"40","CO_GI_LV_HT_20181010_Q10.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"41","CO_GI_LV_LT_20181011_Q01.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,24,0,0,0,0,0,0,0,76,NA,NA,NA
"42","CO_GI_LV_LT_20181011_Q02.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,48,50,0,0,0,2,0,0,0,NA,NA,NA
"43","CO_GI_LV_LT_20181011_Q03.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,19,9,0,0,0,4,0,0,68,NA,NA,NA
"44","CO_GI_LV_LT_20181011_Q04.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,21,0,0,0,3,3,0,0,73,NA,NA,NA
"45","CO_GI_LV_LT_20181011_Q05.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,20,24,0,0,0,0,0,0,56,NA,NA,NA
"46","CO_GI_LV_LT_20181011_Q06.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,2,16,0,1,26,4,1,0,50,NA,NA,NA
"47","CO_GI_LV_LT_20181011_Q07.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,3,71,0,0,8,3,0,0,15,NA,NA,NA
"48","CO_GI_LV_LT_20181011_Q08.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,18,1,0,0,3,4,0,0,74,NA,NA,NA
"49","CO_GI_LV_LT_20181011_Q09.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,39,0,0,0,2,3,3,0,53,NA,NA,NA
"50","CO_GI_LV_LT_20181011_Q10.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","LOWTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,64,0,0,35,1,0,0,0,NA,NA,NA
"51","CO_GI_LV_MT_20181010_Q01.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",1,1,0,91,0,0,0,0,7,0,0,0,NA,NA,NA
"52","CO_GI_LV_MT_20181010_Q02.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",4,0,0,60,36,0,0,0,0,0,0,0,NA,NA,NA
"53","CO_GI_LV_MT_20181010_Q03.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,23,53,0,0,0,2,0,0,22,NA,NA,NA
"54","CO_GI_LV_MT_20181010_Q04.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,61,38,0,0,0,1,0,0,0,NA,NA,NA
"55","CO_GI_LV_MT_20181010_Q05.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,53,16,0,0,2,3,0,0,26,NA,NA,NA
"56","CO_GI_LV_MT_20181010_Q06.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,68,30,0,0,0,2,0,0,0,NA,NA,NA
"57","CO_GI_LV_MT_20181010_Q07.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,79,21,0,0,0,0,0,0,0,NA,NA,NA
