"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments"
"1","USMAMH201807_138_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"2","USMAMH201807_139_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"3","USMAMH201807_419_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"4","USMAMH201807_445_high_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"5","USMAMH201807_503_high_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"6","USMAMH201807_518_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"7","USMAMH201807_552_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"8","USMAMH201807_592_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"9","USMAMH201807_593_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"10","USMAMH201807_594_low_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"11","USMAMH201807_595_high_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"12","USMAMH201807_596_low_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"13","USMAMH201807_598_high_(2).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"14","USMAMH201807_599_high_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"15","USMAMH201807_600_high_(3).JPG",2018-07-17,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"16","USMAMH201905_139_low_(3).JPG",2019-05-22,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"17","USMAMH201905_442_high_(2).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"18","USMAMH201905_445_high_(3).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"19","USMAMH201905_466_high_(2).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"20","USMAMH201905_503_high_(2).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"21","USMAMH201905_552_low_(5).JPG",2019-05-22,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"22","USMAMH201905_596_low_(3).JPG",2019-05-22,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"23","USMAMH201905_598_high_(3).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"24","USMAMH201905_599_high_(3).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"25","USMAMH201905_600_high_(2).JPG",2019-05-21,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"26","USMAPH201807_405_low_(4).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"27","USMAPH201807_422_high_.JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"28","USMAPH201807_426_high_.JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"29","USMAPH201807_428_high_(2).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"30","USMAPH201807_441_low_(2).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"31","USMAPH201807_444_low_(2).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"32","USMAPH201807_450_low_(1).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"33","USMAPH201807_461_low_(2).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"34","USMAPH201807_483_high_(4).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"35","USMAPH201807_494_low_(1).JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"36","USMAPH201807_499_high_.JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"37","USMAPH201807_529_high_.JPG",2018-07-16,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"38","USMAPH201905_422_high_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"39","USMAPH201905_426_high_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"40","USMAPH201905_441_low_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"41","USMAPH201905_450_low_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"42","USMAPH201905_455_low_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"43","USMAPH201905_461_low_(3).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"44","USMAPH201905_469_high_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"45","USMAPH201905_494_low_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"46","USMAPH201905_499_high_(2).JPG",2019-05-20,"Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","HIGHTIDE",25,42.417115,-70.906804,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"47","USMECH201808_190_low_(2).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"48","USMECH201808_191_low_(2).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"49","USMECH201808_192_low_(2).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"50","USMECH201808_195_low_(3).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"51","USMECH201808_198_high_(2).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"52","USMECH201808_564_low_(3).JPG",2018-08-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"53","USMECH201905_190_low_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"54","USMECH201905_191_low_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"55","USMECH201905_192_low_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"56","USMECH201905_193_low_(3).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"57","USMECH201905_194_low_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"58","USMECH201905_195_low_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"59","USMECH201905_196_high_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"60","USMECH201905_198_high_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"61","USMECH201905_199_high_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"62","USMECH201905_200_high_(2).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"63","USMECH201905_564_low_(1).JPG",2019-05-16,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,43.884718,-69.475504,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"64","USMEGS201807_107_low_(3).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"65","USMEGS201807_133_low_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"66","USMEGS201807_134_high_(3).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"67","USMEGS201807_135_high_(3).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"68","USMEGS201807_159_high_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"69","USMEGS201807_160_high_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"70","USMEGS201807_166_high_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"71","USMEGS201807_186_high_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"72","USMEGS201807_187_high_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"73","USMEGS201807_94_low_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"74","USMEGS201807_98_low_(3).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"75","USMEGS201807_99_low_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"76","USMEGS201808_107_low_(3).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"77","USMEGS201808_133_low_(4).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"78","USMEGS201808_134_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"79","USMEGS201808_135_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"80","USMEGS201808_159_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"81","USMEGS201808_160_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"82","USMEGS201808_165_high_(3).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"83","USMEGS201808_166_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"84","USMEGS201808_186_high_(1).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"85","USMEGS201808_94_low_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"86","USMEGS201808_99_low_(3).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"87","USMEGS201905_107_low_(2).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"88","USMEGS201905_134_high_(3).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"89","USMEGS201905_160_high_(2).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"90","USMEGS201905_165_high_(2).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",0,"25 X 25",NA,"random"
"91","USMEGS201905_187_high_(2).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"92","USMEGS201905_99_low_(2).JPG",2019-05-15,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
