Scientific Name,Name CoralNet,Label  ID,Short Code,Functional Group,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Bare Rock,Bare Rock,1146,aBareRock,Hard Substrate,,,,,,,
Bryopsis spp.,Bryopsis spp.,3598,BRYOPSIS,Algae,,143812,exact,urn:lsid:marinespecies.org:taxname:143812,Bryopsis,143812,Bryopsis
Crustose coralline algae),CCA (crustose coralline algae),101,CCA,Algae,,,,,,,
Ceramium sp.,Ceramium sp.,1815,CERAMIUM,Algae,,143834,exact,urn:lsid:marinespecies.org:taxname:143834,Ceramium,143834,Ceramium
Chaetomorpha sp.,Macroalge:Filamentous:Green:Chaetomorpha,2850,CHAETOMORP,Algae,,143995,exact,urn:lsid:marinespecies.org:taxname:143995,Chaetomorpha,143995,Chaetomorpha
Balanus glandula,Balanus glandula,994,CIRRIPEDIO,Other Invertebrates,,394848,exact,urn:lsid:marinespecies.org:taxname:394848,Balanus glandula,394848,Balanus glandula
Cladophora sp.,Cladophora sp.,425,Cldph,Algae,,143996,exact,urn:lsid:marinespecies.org:taxname:143996,Cladophora,143996,Cladophora
Corallina officinalis,Corallina officinalis (canopy),1663,COC,Algae,,145108,exact,urn:lsid:marinespecies.org:taxname:145108,Corallina officinalis,145108,Corallina officinalis
Codium sp,Codium,220,CODIUM,Algae,,143999,exact,urn:lsid:marinespecies.org:taxname:143999,Codium,143999,Codium
Colpomenia sinuosa,Colpomenia sinuosa,512,ColSin,Algae,,145857,exact,urn:lsid:marinespecies.org:taxname:145857,Colpomenia sinuosa,145857,Colpomenia sinuosa
Leiosolenus patagonicus,Leiosolenus patagonicus,3490,DATIL,Other Invertebrates,,506057,exact,urn:lsid:marinespecies.org:taxname:506057,Leiosolenus patagonicus,506057,Leiosolenus patagonicus
Dictyota dichotoma,Dictyota dichotoma,2828,DICTYOTA,Algae,,145367,exact,urn:lsid:marinespecies.org:taxname:145367,Dictyota dichotoma,145367,Dictyota dichotoma
Ulva prolifera,Ulva prolifera,4708,ENTEROMORP,Algae,,234476,exact,urn:lsid:marinespecies.org:taxname:234476,Ulva prolifera,234476,Ulva prolifera
Red algae filamentous,Red algae  filamentous,1064,FILA,Algae,,,,,,,
Leathesia,Macroalgae: Globose: brown: Leathesia,2902,LEATHESIA,Algae,,143973,exact,urn:lsid:marinespecies.org:taxname:143973,Leathesia,143973,Leathesia
Brachidontes sp.,Brachidontes sp.,4707,MEJI,Other Invertebrates,,138215,exact,urn:lsid:marinespecies.org:taxname:138215,Brachidontes,138215,Brachidontes
Parabunodactis imperfecta,Parabunodactis imperfecta,3592,P.imperfec,Other Invertebrates,,290601,exact,urn:lsid:marinespecies.org:taxname:290601,Parabunodactis imperfecta,290601,Parabunodactis imperfecta
Polysiphonia,Macroalge:Filamentous:Red:Polysiphonia,2846,POLYSIPHON,Algae,,143853,exact,urn:lsid:marinespecies.org:taxname:143853,Polysiphonia,143853,Polysiphonia
Ralfsia spp.,Ralfsia spp.,4444,RALFSIA,Algae,,143985,exact,urn:lsid:marinespecies.org:taxname:143985,Ralfsia,143985,Ralfsia
Sand,Sand,84,SAND,Soft Substrate,,,,,,,
Scytosiphon lomentaria,Scytosiphon lomentaria,2803,Scyto,Algae,,145869,exact,urn:lsid:marinespecies.org:taxname:145869,Scytosiphon lomentaria,145869,Scytosiphon lomentaria
Shell/ Shell Hash,Shell/ Shell Hash,523,SHELLS,Hard Substrate,,,,,,,
Sponge,Sponge,102,SPONGE1,Other Invertebrates,,,,,,,
Worms: Polychaetes: Tube worms,Worms: Polychaetes: Tube worms,361,TUBO,Other Invertebrates,,,,,,,
Undaria pinnatifida,Undaria pinnatifida,3485,U.pinnatif,Algae,,145721,exact,urn:lsid:marinespecies.org:taxname:145721,Undaria pinnatifida,145721,Undaria pinnatifida
Ulva sp.,Ulva,584,ULVA,Algae,,144296,exact,urn:lsid:marinespecies.org:taxname:144296,Ulva,144296,Ulva